Name,Address,Description,More_info,Instagram,Facebook,LinkedIn
A.TSOKKOSHOTELSPUBLICLTD,"5341 AYIA NAPA, Cyprus",,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/a-tsokkos-hotels-public-ltd--1000195,https://www.instagram.com/abc_rentacar/,https://www.facebook.com/abcrentacar,https://www.linkedin.com/company/abbey-ireland
A&ATravelServices,"6954 Booragoon, Australia",,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/a-a-travel-services--1207534,https://www.instagram.com/abc_rentacar/,https://www.facebook.com/abcrentacar,https://www.linkedin.com/company/abbey-ireland
a&ohostels,"10179 Berlin, Germany",,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/a-o-hostels--1000180,https://www.instagram.com/aohostels/,https://www.facebook.com/aohostels,https://de.linkedin.com/company/aohostels
AAAHotels&Resorts,"20119 Male', Maldives","Filitheyo Island Resort, Medhufushi Island Resort and Hondaafushi Island Resort",https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/aaa-hotels-resorts--1000239,https://www.instagram.com/filitheyoislandresort/,https://www.facebook.com/Filitheyo,https://www.linkedin.com/company/aaa-hotels-resorts
AAATravel,"7806 Hout Bay, South Africa",,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/aaa-travel--1000240,https://www.instagram.com/filitheyoislandresort/,https://www.facebook.com/Filitheyo,https://www.linkedin.com/company/aaa-hotels-resorts
aachentouristservicee.v.,"52062 Aachen, Germany","As recognised non-profit organisation for tourism marketing, we at aachen tourist service e.v. are the right contact for all tourism and marketing related questions about Aachen - from hotel accommodation, congress events and city tours to marketing tools, sustainable trends and technologies.",https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/aachen-tourist-service-e-v--1185216,https://www.instagram.com/aachentourismus/,https://www.facebook.com/AachenTourismus,https://www.linkedin.com/company/aachen-tourist-service-e.v./about/
AaradhanaTravel&Tours(P.)Ltd.,"+977 Thamel-26, Amrit marg, Kathmandu, Nepal",,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/aaradhana-travel-tours-p-ltd--1206921,https://www.instagram.com/aachentourismus/,https://www.facebook.com/AachenTourismus,https://www.linkedin.com/company/aachen-tourist-service-e.v./about/
AATKings,"81379 Munich, Bavaria, Germany",,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/aat-kings--1000263,https://www.instagram.com/aachentourismus/,https://www.facebook.com/AachenTourismus,https://www.linkedin.com/company/aachen-tourist-service-e.v./about/
AATMANTRAILS,"201014 Ghaziabad, India","INDIA is a Mélange of History, Culture, People, Cuisine and much more… Come & Explore With Us for a Journey of Your Lifetime!!!",https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/aatman-trails--1208257,https://www.instagram.com/aachentourismus/,https://www.facebook.com/AachenTourismus,https://www.linkedin.com/company/aachen-tourist-service-e.v./about/
AAVIAJESMASTERINTERNACIONALINCOMING&INCENTIVES,"29620 Torremolinos, Spain",,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/aa-viajes-master-internacional-incoming-incentives--1043272,https://www.instagram.com/aachentourismus/,https://www.facebook.com/AachenTourismus,https://www.linkedin.com/company/aachen-tourist-service-e.v./about/
AbadHotelsandResorts,"682035 Kochi, India","We own and operate a chain of 14 hotels and resorts in key destinations of kerala - Kochi city centre, Fort kochi, munnar, thekkady, kumarakom, marari beach, kovalam, alleppey and wayanad. Revival ayurveda are the wellness centres offering healing powers of traditional ayurveda through Rasayana and",https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/abad-hotels-and-resorts--1000281,https://www.instagram.com/aachentourismus/,https://www.facebook.com/AachenTourismus,https://www.linkedin.com/company/aachen-tourist-service-e.v./about/
ABBAHOTELS,"08014 Barcelona, Spain",Choose your abba experience and start enjoying it.,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/abba-hotels--1123216,https://www.instagram.com/abbahoteles/,https://www.facebook.com/abbahoteles,https://www.linkedin.com/company/abba-hotels
ABBAVoyage,"E15 2RU London, United Kingdom",Experience a concert like no other. Only at the ABBA Arena London.,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/abba-voyage--1000306,https://www.instagram.com/ABBAVoyage,https://www.facebook.com/ABBAVoyage,https://www.linkedin.com/company/abba-voyage
AbbeyIreland,"D08 NT3K Dublin 8, Ireland","Established in 1978 Abbey Ireland & UK is an award winning Destination Management Company with offices in Dublin and Edinburgh. We provide the full ranges of group and individual travel services in Ireland and the UK, working exclusively with the travel industry.",https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/abbey-ireland--1205417,https://www.instagram.com/abbeyirelanduk,https://www.facebook.com/ABBAVoyage,https://www.linkedin.com/company/abbey-ireland
AbbeyUK,"EH2 4SD Edinburgh, United Kingdom","Established in 1978 Abbey Ireland & UK is an award winning Destination Management Company with offices in Dublin and Edinburgh. We provide the full ranges of group and individual travel services in Ireland and the UK, working exclusively with the travel industry.",https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/abbey-uk--1000311,https://www.instagram.com/abbeyirelanduk,https://www.facebook.com/ABBAVoyage,https://www.linkedin.com/company/abbey-ireland
ABCRentaCar,"1000 Skopje, North Macedonia","Our satisfied customers and years of expertise set us apart in the market!
Situated at Str. Filip Vtori Makedonski no. 5, at the hotel “Holiday Inn,” in the heart of Skopje. (HQ)
Offices:
- Skopje Airport- Ohrid Airport- Ohrid hotel Granit
A brand-new vehicles that are no older than two years.",https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/abc-rent-a-car--1000320,https://www.instagram.com/abc_rentacar/,https://www.facebook.com/abcrentacar,https://www.linkedin.com/company/abbey-ireland
ABCTRAVEL,"80067 SORRENTO, Italy",To be at your Disposal “A VOTRE SERVICE” is not only our slogan but our real way of life!,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/abc-travel--1000322,https://www.instagram.com/abc_rentacar/,https://www.facebook.com/abcrentacar,https://www.linkedin.com/company/abbey-ireland
AbenteuerAfrikaSafari,"0 Swakopmund, Namibia","Founded in 1993, Abenteuer Afrika Safari is one of the pioneers of Leisure Travel to Namibia and has since become Namibia’s leading Destination Management Compa",https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/abenteuer-afrika-safari--1000340,https://www.instagram.com/abc_rentacar/,https://www.facebook.com/abcrentacar,https://www.linkedin.com/company/abbey-ireland
Abercrombie&KentArabiaLimited,"11666 Riyadh, Saudi Arabia",,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/abercrombie-kent-arabia-limited--1000345,https://www.instagram.com/abc_rentacar/,https://www.facebook.com/abcrentacar,https://www.linkedin.com/company/abbey-ireland
Abercrombie&KentAustralia,"3205 South Melbourne VIC, Australia",,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/abercrombie-kent-australia--1000344,https://www.instagram.com/abc_rentacar/,https://www.facebook.com/abcrentacar,https://www.linkedin.com/company/abbey-ireland
Abercrombie&KentEastandSouthernAfrica,"00100 Nairobi, Kenya",,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/abercrombie-kent-east-and-southern-africa--1000177,https://www.instagram.com/abc_rentacar/,https://www.facebook.com/abcrentacar,https://www.linkedin.com/company/abbey-ireland
Abercrombie&KentEgypt,"11241 Cairo, Egypt",,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/abercrombie-kent-egypt--1000346,https://www.instagram.com/abc_rentacar/,https://www.facebook.com/abcrentacar,https://www.linkedin.com/company/abbey-ireland
Abercrombie&KentLtd,"GL50 3LG Cheltenham, United Kingdom",,https://www.itb.com/en/itb-berlin-for-visitors/exhibitor-list/#/detail/abercrombie-kent-ltd--1206481,https://www.instagram.com/abc_rentacar/,https://www.facebook.com/abcrentacar,https://www.linkedin.com/company/abbey-ireland
